USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
tanu              5467  23.2 11.7 439615520 984320   ??  Ss    3:33PM  14:08.06 /System/Library/Frameworks/Virtualization.framework/Versions/A/XPCServices/com.apple.Virtualization.VirtualMachine.xpc/Contents/MacOS/com.apple.Virtualization.VirtualMachine
tanu              7069   8.6  4.0 1953268288 338224   ??  S    10:50AM   2:11.04 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --type=renderer --user-data-dir=/Users/tanu/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/Applications/Visual Studio Code.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --max-active-webgl-contexts=32 --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1788485273752992 --launch-time-ticks=13965013493 --shared-files --field-trial-handle=1718379636,r,8224580139564391196,15605330775160108997,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,5021548839340329152,6410795907639236652,4 --trace-process-track-uuid=3190708990060038890 --vscode-window-config=vscode:0215890c-b801-4613-9079-f881a0873cb1 --seatbelt-client=64
tanu              1309   0.0  0.1 435547440   5696   ??  Ss   Thu12AM   0:01.96 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuc3RvY2tzLndpZGdldCIsInR5cGUiOjF9
tanu              1306   0.0  0.0 435347424   3616   ??  S    Thu12AM   0:00.41 /System/Library/PrivateFrameworks/People.framework/peopled
tanu              1303   0.0  0.0 435532928   3216   ??  Ss   Thu12AM   0:00.10 /System/Library/CoreServices/WindowManager.app/Contents/PlugIns/WindowManagerControlsExtension.appex/Contents/MacOS/WindowManagerControlsExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuV2luZG93TWFuYWdlci5jb250cm9scyIsInR5cGUiOjF9
tanu              1302   0.0  0.1 435761392   5648   ??  Ss   Thu12AM   0:00.49 /System/Applications/Home.app/Contents/PlugIns/HomeEnergyWidgetsExtension.appex/Contents/MacOS/HomeEnergyWidgetsExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuSG9tZS5Ib21lRW5lcmd5V2lkZ2V0cyIsInR5cGUiOjF9
tanu              1301   0.0  0.1 435387120   5600   ??  Ss   Thu12AM   0:00.14 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetItems.appex/Contents/MacOS/FindMyWidgetItems -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuZmluZG15LkZpbmRNeVdpZGdldEl0ZW1zIiwidHlwZSI6MX0=
tanu              1300   0.0  0.1 435569920   5696   ??  Ss   Thu12AM   0:00.17 /System/Applications/Journal.app/Contents/PlugIns/JournalWidgets.appex/Contents/MacOS/JournalWidgets -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuam91cm5hbC53aWRnZXRzIiwidHlwZSI6MX0=
tanu              1299   0.0  0.0 435351856   3392   ??  Ss   Thu12AM   0:00.02 /System/Applications/Shortcuts.app/Contents/PlugIns/ShortcutLiveActivityWidgetExtension.appex/Contents/MacOS/ShortcutLiveActivityWidgetExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuc2hvcnRjdXRzLlNob3J0Y3V0TGl2ZUFjdGl2aXR5V2lkZ2V0IiwidHlwZSI6MX0=
tanu              1298   0.0  0.1 435387280   5616   ??  Ss   Thu12AM   0:00.15 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetPeople.appex/Contents/MacOS/FindMyWidgetPeople -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuZmluZG15LkZpbmRNeVdpZGdldFBlb3BsZSIsInR5cGUiOjF9
tanu              1297   0.0  0.1 435599424   4288   ??  Ss   Thu12AM   0:00.18 /System/Applications/Shortcuts.app/Contents/PlugIns/ShortcutsWidgetExtension.appex/Contents/MacOS/ShortcutsWidgetExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuc2hvcnRjdXRzLlNob3J0Y3V0c1dpZGdldCIsInR5cGUiOjF9
tanu              1296   0.0  0.1 435592736   5632   ??  Ss   Thu12AM   0:00.19 /System/Applications/Home.app/Contents/PlugIns/HomeWidget.appex/Contents/MacOS/HomeWidget -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuSG9tZS5Ib21lV2lkZ2V0LkludGVyYWN0aXZlIiwidHlwZSI6MX0=
tanu              1295   0.0  0.1 435344992   5088   ??  Ss   Thu12AM   0:00.07 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetIntentsExtension.appex/Contents/MacOS/ScreenTimeWidgetIntentsExtension -AppleLanguages ("en-IN")
tanu              1294   0.0  0.1 435582528   5680   ??  Ss   Thu12AM   0:00.13 /System/Applications/Journal.app/Contents/PlugIns/JournalWidgetsSecure.appex/Contents/MacOS/JournalWidgetsSecure -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuam91cm5hbC53aWRnZXRzLnNlY3VyZSIsInR5cGUiOjF9
tanu              1291   0.0  0.1 435352864   5024   ??  Ss   Thu12AM   0:00.05 /System/Applications/VoiceMemos.app/Contents/PlugIns/VoiceMemosSettingsWidgetExtension.appex/Contents/MacOS/VoiceMemosSettingsWidgetExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuVm9pY2VNZW1vcy5Wb2ljZU1lbW9zU2V0dGluZ3NXaWRnZXQiLCJ0eXBlIjoxfQ==
tanu              1290   0.0  0.0 435353024   2800   ??  Ss   Thu12AM   0:00.04 /System/Library/CoreServices/WallpaperAgent.app/Contents/PlugIns/WallpaperControlsExtension.appex/Contents/MacOS/WallpaperControlsExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUud2FsbHBhcGVyLmFnZW50LmNvbnRyb2xzIiwidHlwZSI6MX0=
tanu              1288   0.0  0.1 435352896   5024   ??  Ss   Thu12AM   0:00.06 /System/Applications/VoiceMemos.app/Contents/PlugIns/RecordWidgetExtension.appex/Contents/MacOS/RecordWidgetExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuVm9pY2VNZW1vcy5SZWNvcmRXaWRnZXQiLCJ0eXBlIjoxfQ==
tanu              1287   0.0  0.0 435383184   3248   ??  Ss   Thu12AM   0:00.18 /System/Applications/Photos.app/Contents/PlugIns/PhotosReliveWidget.appex/Contents/MacOS/PhotosReliveWidget -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuUGhvdG9zLlBob3Rvc1JlbGl2ZVdpZGdldCIsInR5cGUiOjF9
tanu              1285   0.0  0.1 435434880   5648   ??  Ss   Thu12AM   0:01.07 /System/Applications/Podcasts.app/Contents/PlugIns/PodcastsWidget.appex/Contents/MacOS/PodcastsWidget -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUucG9kY2FzdHMud2lkZ2V0IiwidHlwZSI6MX0=
tanu              1279   0.0  0.1 435394880   5648   ??  Ss   Thu12AM   0:00.35 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuU2NyZWVuVGltZVdpZGdldEFwcGxpY2F0aW9uLlNjcmVlblRpbWVXaWRnZXRFeHRlbnNpb24iLCJ0eXBlIjoxfQ==
tanu              1278   0.0  0.0 435534864   3248   ??  Ss   Thu12AM   0:00.27 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/Extensions/SafariWidgetExtension.appex/Contents/MacOS/SafariWidgetExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5TYWZhcmkuU2FmYXJpV2lkZ2V0RXh0ZW5zaW9uIiwidHlwZSI6MSwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
tanu              1271   0.0  0.1 435359952   4800   ??  Ss   Thu12AM   0:00.97 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
root              1265   0.0  0.0 435313840   1088   ??  Ss   Thu12AM   0:00.03 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
tanu              1262   0.0  0.0 435285168   2720   ??  Ss   Thu12AM   0:00.03 /System/Library/ExtensionKit/Extensions/NeptuneOneWallpaper.appex/Contents/MacOS/NeptuneOneWallpaper -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5OZXB0dW5lT25lRXh0ZW5zaW9uIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2UsInR5cGUiOjF9
tanu              1261   0.0  0.1 435523088   4976   ??  Ss   Thu12AM   0:08.51 /Applications/WhatsApp.app/Contents/PlugIns/ServiceExtension.appex/Contents/MacOS/ServiceExtension -AppleLanguages ("en-IN")
tanu              1256   0.0  0.0 435285136   2720   ??  Ss   Thu12AM   0:00.03 /System/Library/ExtensionKit/Extensions/WallpaperSequoiaExtension.appex/Contents/MacOS/WallpaperSequoiaExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS53YWxscGFwZXIuZXh0ZW5zaW9uLnNlcXVvaWEiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MX0=
tanu              1248   0.0  0.1 435376208  11440   ??  S    Thu12AM   0:04.95 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
tanu              1254   0.0  0.0 435285136   2720   ??  Ss   Thu12AM   0:00.03 /System/Library/ExtensionKit/Extensions/WallpaperSonomaExtension.appex/Contents/MacOS/WallpaperSonomaExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS53YWxscGFwZXIuZXh0ZW5zaW9uLnNvbm9tYSIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlLCJ0eXBlIjoxfQ==
tanu              1253   0.0  0.0 435301504   3312   ??  Ss   Thu12AM   0:00.09 /System/Library/ExtensionKit/Extensions/WallpaperLegacyExtension.appex/Contents/MacOS/WallpaperLegacyExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS53YWxscGFwZXIuZXh0ZW5zaW9uLmxlZ2FjeSIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlLCJ0eXBlIjoxfQ==
tanu              1252   0.0  0.0 435287120   3696   ??  Ss   Thu12AM   0:00.04 /Applications/Wallspace.app/Contents/Extensions/WallspaceWallpaperExtension.appex/Contents/MacOS/WallspaceWallpaperExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6IndhbGxzcGFjZS5hcHAud2FsbHBhcGVyLWV4dGVuc2lvbiIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlLCJ0eXBlIjoxfQ==
tanu              1251   0.0  0.0 435285312   2720   ??  Ss   Thu12AM   0:00.03 /System/Library/ExtensionKit/Extensions/WallpaperMacintoshExtension.appex/Contents/MacOS/WallpaperMacintoshExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS53YWxscGFwZXIuZXh0ZW5zaW9uLm1hY2ludG9zaCIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlLCJ0eXBlIjoxfQ==
tanu              1250   0.0  0.0 435286064   2928   ??  Ss   Thu12AM   0:00.10 /System/Library/ExtensionKit/Extensions/WallpaperDynamicExtension.appex/Contents/MacOS/WallpaperDynamicExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS53YWxscGFwZXIuZXh0ZW5zaW9uLmR5bmFtaWMiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MX0=
tanu              1247   0.0  0.0 435285664   2720   ??  Ss   Thu12AM   0:00.03 /System/Library/ExtensionKit/Extensions/WallpaperGradientExtension.appex/Contents/MacOS/WallpaperGradientExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS53YWxscGFwZXIuZXh0ZW5zaW9uLmdyYWRpZW50IiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2UsInR5cGUiOjF9
tanu              1244   0.0  0.0 435305088   2416   ??  S    Thu12AM   0:00.08 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
tanu              1237   0.0  0.0 435369328   4000   ??  Ss   Thu12AM   0:01.03 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("en-IN")
tanu              1230   0.0  0.1 435556352   8272   ??  S    Thu12AM   0:13.24 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
tanu              1227   0.0  0.0 435346080   2816   ??  S    Thu12AM   0:00.15 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
tanu              1225   0.0  0.1 436303888   5792   ??  Ss   Thu12AM   0:51.53 /System/Library/ExtensionKit/Extensions/WallpaperAerialsExtension.appex/Contents/MacOS/WallpaperAerialsExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS53YWxscGFwZXIuZXh0ZW5zaW9uLmFlcmlhbHMiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MX0=
root              1218   0.0  0.0 435305632   2176   ??  Ss   Thu12AM   0:00.12 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
tanu              1222   0.0  0.0 435322144   3504   ??  Ss   Thu12AM   0:00.49 /System/Library/ExtensionKit/Extensions/WallpaperImageExtension.appex/Contents/MacOS/WallpaperImageExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS53YWxscGFwZXIuZXh0ZW5zaW9uLmltYWdlIiwidHlwZSI6MSwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
tanu              1210   0.0  0.1 435416720  11152   ??  S    Thu12AM   4:17.52 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
tanu              1209   0.0  0.0 435352688   2352   ??  S    Thu12AM   0:00.13 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
root              1208   0.0  0.0 435306944   1376   ??  Ss   Thu12AM   0:00.08 automountd
tanu              1204   0.0  0.1 435418192   7248   ??  S    Thu12AM   0:03.15 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
tanu              1200   0.0  0.3 435695120  26336   ??  S    Thu12AM   0:19.57 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
tanu              1199   0.0  0.0 435520064   3696   ??  S    Thu12AM   0:00.46 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
tanu              1197   0.0  0.1 435581616  10000   ??  S    Thu12AM   0:16.31 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
tanu              1186   0.0  0.2 435389408  12752   ??  S    Thu12AM   4:14.28 /usr/libexec/duetexpertd
tanu              1145   0.0  0.4 435857392  30976   ??  S    Thu12AM   1:30.14 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
tanu              1136   0.0  0.1 435394480   7296   ??  S    Thu12AM   1:27.37 /usr/libexec/spotlightknowledged.updater -u
tanu              1120   0.0  0.1 435352928   7936   ??  SN   Thu12AM   0:04.28 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
tanu              1115   0.0  0.1 435306384   5136   ??  S    Thu12AM   0:01.37 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
tanu              1114   0.0  0.0 435304352   1696   ??  S    Thu12AM   0:00.06 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
tanu              1113   0.0  0.0 435299792   3328   ??  S    Thu12AM   0:00.62 /usr/libexec/avconferenced
_fpsd             1110   0.0  0.0 435316704   1760   ??  Ss   Thu12AM   0:00.70 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
tanu              1103   0.0  0.1 435341360   4608   ??  S    Thu12AM   0:02.10 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
tanu              1102   0.0  0.1 435350112   8160   ??  S    Thu12AM   0:03.06 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
tanu              1099   0.0  0.0 435363840   2624   ??  S    Thu12AM   0:01.24 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
tanu              1098   0.0  0.1 435583392   9280   ??  S    Thu12AM   0:05.46 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
tanu              1096   0.0  0.1 435341344   8112   ??  S    Thu12AM   0:21.90 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
tanu              1095   0.0  0.0 435346224   3152   ??  S    Thu12AM   0:00.26 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
_ctkd             1092   0.0  0.0 435340736   2288   ??  Ss   Thu12AM   0:00.09 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
_appleevents      1086   0.0  0.0 435305424   1648   ??  S    Thu12AM   0:00.56 /usr/sbin/distnoted agent
tanu              1088   0.0  0.0 435405376   4112   ??  S    Thu12AM   0:10.42 /System/Library/CoreServices/talagentd
tanu              1085   0.0  0.0 435305920   3296   ??  S    Thu12AM   0:00.81 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
_securityagent    1081   0.0  0.0 435304896   1632   ??  S    Thu12AM   0:00.56 /usr/sbin/distnoted agent
_gamecontrollerd  1078   0.0  0.0 435305696   1632   ??  S    Thu12AM   0:00.56 /usr/sbin/distnoted agent
tanu              1076   0.0  0.0 435304640   2656   ??  S    Thu12AM   0:00.08 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
tanu              1071   0.0  0.3 442914400  23248   ??  S    Thu12AM   0:57.17 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
_modelmanagerd    1069   0.0  0.0 435364528   4032   ??  Ss   Thu12AM   0:01.43 /usr/libexec/modelmanagerd
tanu              1067   0.0  0.1 435386208   6496   ??  S    Thu12AM   0:05.39 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
_appinstalld      1056   0.0  0.0 435305504   1632   ??  S    Thu12AM   0:00.56 /usr/sbin/distnoted agent
tanu              1046   0.0  0.1 435352496   5744   ??  S    Thu12AM   0:04.47 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
tanu              1048   0.0  0.2 435374336  13296   ??  S    Thu12AM   0:35.22 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
tanu              1047   0.0  0.1 435344544   4480   ??  S    Thu12AM   0:01.16 /System/Library/CoreServices/audioaccessoryd
tanu              1010   0.0  0.1 435523792   9360   ??  S    Thu12AM   0:17.77 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
_nearbyd          1043   0.0  0.0 435353232   3728   ??  Ss   Thu12AM   0:01.36 /usr/libexec/nearbyd
tanu               981   0.0  0.1 435361024   8880   ??  S    Thu12AM   0:06.87 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
tanu              1041   0.0  0.0 435341424   4000   ??  S    Thu12AM   0:00.78 /usr/libexec/ContinuityCaptureAgent server
tanu              1040   0.0  0.1 435554320   4304   ??  S    Thu12AM   0:00.79 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
_applepay         1036   0.0  0.0 435305440   1632   ??  S    Thu12AM   0:00.56 /usr/sbin/distnoted agent
root              1025   0.0  0.1 435317280   6416   ??  Ss   Thu12AM   0:01.19 /usr/sbin/filecoordinationd
tanu              1024   0.0  0.0 435377280   3504   ??  S    Thu12AM   0:01.69 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
tanu              1021   0.0  0.1 435394144   7424   ??  S    Thu12AM   0:09.63 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
tanu              1015   0.0  0.2 435359984  16448   ??  S    Thu12AM   0:09.06 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
tanu               999   0.0  0.1 435354048   5680   ??  S    Thu12AM   0:00.85 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
tanu               997   0.0  0.1 435349968   5504   ??  S    Thu12AM   0:07.86 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
tanu               996   0.0  0.1 435347824   6000   ??  S    Thu12AM   0:01.24 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
tanu               992   0.0  0.0 435341648   3984   ??  S    Thu12AM   0:00.55 /System/Library/CoreServices/sharedfilelistd
tanu               991   0.0  0.1 435348016   6288   ??  S    Thu12AM   0:02.54 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
tanu               983   0.0  0.1 435430560   8624   ??  S    Thu12AM   0:05.72 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
tanu               973   0.0  0.0 435301216   1376   ??  S    Thu12AM   0:00.03 /System/Library/PrivateFrameworks/SystemMigrationNetwork.framework/Resources/migrationhelper
tanu               968   0.0  0.1 435344816   5712   ??  S    Thu12AM   0:02.52 /usr/libexec/nsurlsessiond
tanu               969   0.0  0.0 435341808   3408   ??  S    Thu12AM   0:02.98 /System/Library/CoreServices/lockoutagent
tanu               966   0.0  0.1 435425264  11024   ??  S    Thu12AM   0:07.42 /usr/libexec/sharingd
tanu               964   0.0  0.1 435403232   7536   ??  S    Thu12AM   0:05.33 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
tanu               962   0.0  0.1 435341216   4400   ??  S    Thu12AM   0:04.88 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
tanu               961   0.0  0.1 435353728   6032   ??  S    Thu12AM   0:09.21 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
tanu               957   0.0  0.1 435377664   7360   ??  S    Thu12AM   0:04.42 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
tanu               955   0.0  0.1 435344112   5120   ??  S    Thu12AM   0:20.70 /usr/libexec/trustd --agent
tanu               953   0.0  0.1 435349520  10720   ??  S    Thu12AM   0:08.78 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
tanu               952   0.0  0.1 435361312   9936   ??  S    Thu12AM   0:06.32 /usr/sbin/usernoted
tanu               949   0.0  0.1 435349504   7232   ??  S    Thu12AM   0:03.67 /usr/libexec/rapportd
tanu               946   0.0  0.1 435395488   8208   ??  S    Thu12AM   0:06.04 /usr/libexec/linkd
tanu               945   0.0  0.1 435352960   8688   ??  S    Thu12AM   0:24.63 /usr/libexec/lsd
tanu               943   0.0  0.1 435342144   9088   ??  S    Thu12AM   0:27.37 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
tanu               942   0.0  0.0 435339856   3504   ??  S    Thu12AM   0:03.78 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
tanu               940   0.0  0.1 435316576   6512   ??  S    Thu12AM   0:00.70 /usr/libexec/pboard
tanu               938   0.0  0.1 435367232   5440   ??  S    Thu12AM   0:02.30 /usr/sbin/universalaccessd launchd -s
tanu               932   0.0  0.1 435342544   5392   ??  S    Thu12AM   0:04.51 /usr/libexec/UserEventAgent (Aqua)
tanu               925   0.0  0.1 435350416   7920   ??  S    Thu12AM   0:14.50 /usr/libexec/secd
_driverkit         917   0.0  0.0 435240032    896   ??  Ss   Thu12AM   0:00.05 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000ea8 com.apple.IOUserBluetoothSerialDriver
_driverkit         916   0.0  0.0 435240064    880   ??  Ss   Thu12AM   0:00.06 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000ea6 com.apple.IOUserBluetoothSerialDriver
tanu               915   0.0  0.0 435305200   3536   ??  S    Thu12AM   0:05.91 /usr/sbin/distnoted agent
root               914   0.0  0.0 435340944   3568   ??  Ss   Thu12AM   0:00.44 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
root               907   0.0  0.1 435353760   8912   ??  Ss   Thu12AM   0:20.34 /usr/libexec/gamepolicyd
_spotlight         893   0.0  0.0 435304800   1664   ??  S    Thu12AM   0:00.55 /usr/sbin/distnoted agent
_oahd              883   0.0  0.0 435305696   1168   ??  Ss   Thu12AM   0:00.16 /usr/libexec/rosetta/oahd
